主机 IP,主机名,主机状态,业务组,操作系统,系统版本,内核版本,CPU内核数,内存容量,特征,主机备注,整机CPU占用,整机内存占用,内网 IP,外网 IP,主机开机时长
10.110.14.188,localhost.localdomain,online,上海G4.5（数据中心）Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,48,503.4 GB,[09NotReady],,0.16%,15.76%,10.110.14.188,10.110.14.188,27787h4m55s
172.18.13.120,pitsmbi1.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.0.1406 (Core) ,3.10.0-123.el7.x86_64,8,15.5 GB,[09NotReady],,2.92%,68.69%,172.18.13.120,172.18.13.120,29897h32m7s
10.110.18.16,pdatablau06,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,16,62.9 GB,[09NotReady],,0.98%,42.56%,10.110.18.16,10.110.18.16,24766h51m49s
10.110.12.134,ppromgt05,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,8,31.3 GB,[09NotReady],,2.11%,20.49%,10.110.12.134,10.110.12.134,18166h56m47s
10.110.14.87,tdatablau07,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,8,31.4 GB,[09NotReady],,3.41%,15.72%,10.110.14.87,10.110.14.87,21025h43m12s
10.110.18.23,pdatablauser,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,8,31.4 GB,[09NotReady],,3.64%,30.17%,10.110.18.23,10.110.18.23,24211h5m15s
172.18.25.222,pshsc,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,8,15.6 GB,[09NotReady DMZ区服务器],,3.49%,12.34%,172.18.25.222,172.18.25.222,15887h14m16s
172.18.25.175,phrm,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,4,7.6 GB,[09NotReady DMZ区服务器],,3.89%,20.13%,172.18.25.175,172.18.25.175,30286h36m0s
172.18.25.196,pelectronic,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,8,31.6 GB,[09NotReady DMZ区服务器],,1.68%,16.25%,172.18.25.196,172.18.25.196,28746h26m45s
10.110.13.48,pcontract-db,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,16,31.4 GB,[09NotReady],,3.56%,33.73%,10.110.13.48,10.110.13.48,23754h19m45s
10.110.18.17,pdatablau07,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,16,62.9 GB,[09NotReady],,1.10%,42.99%,10.110.18.17,10.110.18.17,24766h56m28s
10.110.13.167,pdormi03,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,8,31.4 GB,[09NotReady],,4.26%,16.88%,10.110.13.167,10.110.13.167,12924h11m54s
10.110.18.203,oled2xsky03,online,上海G4.5（数据中心）Linux,openEuler,20.03 (LTS-SP3),4.19.90-2112.8.0.0131.oe1.x86_64,72,251.1 GB,[09NotReady],,2.61%,12.52%,10.110.18.203,10.110.18.203,6428h23m27s
172.18.14.56,uitsmweb.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.0.1406 (Core) ,3.10.0-123.el7.x86_64,8,31.3 GB,[09NotReady],,2.27%,39.08%,172.18.14.56,172.18.14.56,22073h17m59s
172.18.13.118,pitsmwb4.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.0.1406 (Core) ,3.10.0-123.el7.x86_64,4,15.5 GB,[09NotReady],,4.58%,74.13%,172.18.13.118,172.18.13.118,30857h22m19s
172.18.13.233,predmine,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,4.19.91-28.2.an7.x86_64,4,7.7 GB,[09NotReady],,4.71%,21.36%,172.18.13.233,172.18.13.233,13100h13m29s
172.18.13.117,pitsmwb3.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.0.1406 (Core) ,3.10.0-123.el7.x86_64,4,15.5 GB,[09NotReady],,3.44%,88.93%,172.18.13.117,172.18.13.117,38281h6m38s
10.110.14.72,tcontract-annex,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,4,23.5 GB,[09NotReady],,4.68%,55.82%,10.110.14.72,10.110.14.72,6234h23m49s
10.110.13.198,PBIQSAPDB,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,11.4 GB,[09NotReady],,2.95%,32.54%,10.110.13.198,10.110.13.198,13822h39m41s
10.110.13.161,pfank8s03,online,上海G4.5（数据中心）Linux,Red Hat Enterprise Linux Server,7.9 (Maipo),3.10.0-1160.el7.x86_64,8,31.4 GB,[09NotReady],,14.71%,59.86%,10.110.13.161,10.110.13.161,4580h55m14s
10.110.14.98,tkingdee03,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,8,15.6 GB,[09NotReady],,2.11%,15.07%,10.110.14.98,10.110.14.98,22698h10m0s
172.18.25.50,PB2BDMZ1.tianma.cn,online,上海G4.5（数据中心）Linux,Oracle Linux Server,6.8 (Santiago),4.1.12-37.4.1.el6uek.x86_64,32,61.8 GB,[09NotReady DMZ区服务器],,0.28%,12.06%,172.18.25.50,172.18.25.50,3746h1m46s
10.110.14.143,tpromgt14,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,4,7.7 GB,[09NotReady],,6.03%,18.25%,10.110.14.143,10.110.14.143,19176h53m30s
10.100.6.35,tsdpuatregistry,online,上海OLED（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,4,7.6 GB,[09NotReady],,1.26%,15.28%,10.100.6.35,10.100.6.35,25096h44m10s
10.100.7.111,pdevmgo2.tianma.cn,online,上海OLED（数据中心）Linux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.5.1.el7.x86_64,8,78.9 GB,[09NotReady],,1.28%,63.87%,10.100.7.111,10.100.7.111,29334h33m55s
10.100.8.32,poangix2.tianma.cn,online,上海OLED（数据中心）Linux,CentOS Linux,7.5.1804 (Core) ,3.10.0-862.el7.x86_64,16,62.8 GB,[09NotReady],,1.30%,4.85%,10.100.8.32,10.100.8.32,29334h28m7s
10.100.2.107,phrmbap2.tianma.cn,online,上海OLED（数据中心）Linux,Oracle Linux Server,7.5 (Maipo),4.1.12-124.20.7.el7uek.x86_64,16,62.9 GB,[09NotReady],,13.90%,88.69%,10.100.2.107,10.100.2.107,17147h6m11s
10.100.2.87,ppsngnx2.tianma.cn,online,上海OLED（数据中心）Linux,Oracle Linux Server,7.4 (Maipo),4.1.12-124.20.7.el7uek.x86_64,4,15.4 GB,[09NotReady],,9.72%,91.04%,10.100.2.87,10.100.2.87,29333h46m7s
10.100.6.34,tsdpuatnginx,online,上海OLED（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,4,7.6 GB,[09NotReady],,1.24%,15.92%,10.100.6.34,10.100.6.34,25096h48m1s
10.100.2.64,psoalog01,online,上海OLED（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,8,31.2 GB,[09NotReady],,3.76%,33.70%,10.100.2.64,10.100.2.64,25123h34m49s
10.110.18.115,pcdhwok2,online,上海G4.5（数据中心）Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,8,62.7 GB,[09NotReady],,2.13%,26.61%,10.110.18.115,10.110.18.115,22675h15m9s
10.100.2.111,phrptap1.tianma.cn,online,上海OLED（数据中心）Linux,Oracle Linux Server,7.4 (Maipo),4.1.12-124.20.3.el7uek.x86_64,64,376.3 GB,[09NotReady],,1.51%,94.17%,10.100.2.111,10.100.2.111,9620h1m47s
10.110.18.38,pcdhmst1.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.12.2.el7.x86_64,16,62.7 GB,[09NotReady],,4.55%,51.08%,10.110.18.38,10.110.18.38,22995h0m30s
10.100.159.22,trdapall.tianma.cn,online,上海OLED（数据中心）Linux,Red Hat Enterprise Linux Server,7.9 (Maipo),3.10.0-1160.el7.x86_64,8,31.2 GB,[09NotReady],,1.36%,17.87%,10.100.159.22,10.100.159.22,26205h9m17s
10.110.18.39,pcdhmst2.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.12.2.el7.x86_64,16,126.7 GB,[09NotReady],,1.79%,35.70%,10.110.18.39,10.110.18.39,22994h59m42s
10.110.16.127,TBIJCNGX.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.el7.x86_64,4,31.2 GB,[09NotReady],,1.90%,17.00%,10.110.16.127,10.110.16.127,23175h54m41s
10.100.2.83,ppsapp02.tianma.cn,online,上海OLED（数据中心）Linux,Oracle Linux Server,7.4 (Maipo),4.1.12-94.3.9.el7uek.x86_64,64,251.0 GB,[09NotReady],,0.92%,30.33%,10.100.2.83,10.100.2.83,7839h35m11s
10.100.2.86,ppsngnx1.tianma.cn,online,上海OLED（数据中心）Linux,Oracle Linux Server,7.4 (Maipo),4.1.12-124.20.7.el7uek.x86_64,4,15.4 GB,[09NotReady],,2.94%,75.40%,10.100.2.86,10.100.2.86,12187h27m18s
10.100.8.22,lbpm2.tianma.cn,online,上海OLED（数据中心）Linux,Oracle Linux Server,6.8 (Santiago),4.1.12-37.4.1.el6uek.x86_64,8,15.7 GB,[09NotReady],,0.33%,25.88%,10.100.8.22,10.100.8.22,15913h56m12s
10.100.2.63,PSOAAP04.tianma.cn,online,上海OLED（数据中心）Linux,Oracle Linux Server,6.8 (Santiago),4.1.12-37.4.1.el6uek.x86_64,16,62.9 GB,[09NotReady],,0.54%,46.86%,10.100.2.63,10.100.2.63,29335h49m47s
10.100.6.196,toawkcs.tianma.cn,online,上海OLED（数据中心）Linux,Oracle Linux Server,6.8 (Santiago),4.1.12-37.4.1.el6uek.x86_64,16,15.4 GB,[09NotReady],,0.17%,2.44%,10.100.6.196,10.100.6.196,2706h3m57s
10.110.12.142,ppromgt13,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,8,31.6 GB,[09NotReady],,6.04%,76.69%,10.110.12.142,10.110.12.142,18166h58m57s
10.110.13.135,peosyanlian,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,8,31.6 GB,[09NotReady],,6.06%,39.82%,10.110.13.135,10.110.13.135,16800h12m30s
10.110.18.18,pdatablaudb01,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,16,47.4 GB,[09NotReady],,6.26%,57.64%,10.110.18.18,10.110.18.18,24526h25m44s
10.110.13.88,pkingdee07,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,16,62.8 GB,[09NotReady],,17.18%,28.30%,10.110.13.88,10.110.13.88,21193h14m34s
10.110.13.90,pkingdee09,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,8,15.6 GB,[09NotReady],,1.76%,15.35%,10.110.13.90,10.110.13.90,21193h3m53s
10.110.13.36,pmpp-fe03,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,16,62.9 GB,[09NotReady],,9.24%,82.86%,10.110.13.36,10.110.13.36,23682h43m12s
10.110.14.96,tkingdee01,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,8,31.3 GB,[09NotReady],,23.51%,46.72%,10.110.14.96,10.110.14.96,21023h30m23s
10.110.18.85,ptmsweb1,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,7.5 GB,[09NotReady],,6.84%,20.14%,10.110.18.85,10.110.18.85,16056h18m48s
10.110.14.35,telectronic,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,8,39.5 GB,[09NotReady],,5.48%,23.87%,10.110.14.35,10.110.14.35,29905h49m29s
10.110.14.115,uatoa,online,上海G4.5（数据中心）Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,8,47.2 GB,[09NotReady],,0.75%,9.89%,10.110.14.115,10.110.14.115,17998h36m11s
172.18.13.170,pidmldap.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,8,31.5 GB,[09NotReady],,2.47%,22.60%,172.18.13.170,172.18.13.170,37361h53m23s
172.18.13.186,bpm2,online,上海G4.5（数据中心）Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,8,15.5 GB,[09NotReady],,2.64%,50.45%,172.18.13.186,172.18.13.186,12925h2m44s
10.110.16.31,dev01,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,16,62.9 GB,[09NotReady],,3.06%,39.07%,10.110.16.31,10.110.16.31,26107h26m8s
10.110.13.158,pfanweb02,online,上海G4.5（数据中心）Linux,Red Hat Enterprise Linux Server,7.9 (Maipo),3.10.0-1160.el7.x86_64,4,7.8 GB,[09NotReady],,2.38%,23.77%,10.110.13.158,10.110.13.158,14847h1m42s
10.110.12.82,pelectronic03,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,8,31.2 GB,[09NotReady],,1.21%,19.21%,10.110.12.82,10.110.12.82,25236h32m36s
10.110.12.141,ppromgt12,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,4,15.6 GB,[09NotReady],,7.05%,25.03%,10.110.12.141,10.110.12.141,18166h59m36s
172.18.2.89,PEPSAP01NEW,online,上海G4.5（数据中心）Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,16.0 GB,[09NotReady],,13.73%,22.62%,172.18.2.89,172.18.2.89,12646h19m45s
172.18.2.182,CRM-TEST,online,上海G4.5（数据中心）Windows,Windows Server,2008 R2 Enterprise Service Pack 1,6.1.7601.24441 (win7sp1_ldr.190418-1735),2,8.0 GB,[09NotReady],,10.90%,78.20%,172.18.2.182,172.18.2.182,6431h1m52s
172.18.2.36,crmapp2,online,上海G4.5（数据中心）Windows,Windows Server,2012 Standard,6.2.9200.24266 (win8_ldr_escrow.230426-1815),8,16.0 GB,[09NotReady],,2.17%,53.58%,172.18.2.36,172.18.2.36,18640h39m24s
10.110.13.53,PWMSAP12,online,上海G4.5（数据中心）Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),32,110.0 GB,[09NotReady],,30.83%,52.64%,10.110.13.53,10.110.13.53,90h15m58s
172.18.2.206,PERPJUMP-NEW2,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),16,64.0 GB,[09NotReady],,9.03%,24.79%,172.18.2.206,172.18.2.206,1030h32m24s
172.18.2.37,crmrpt,online,上海G4.5（数据中心）Windows,Windows Server,2012 Standard,6.2.9200.24266 (win8_ldr_escrow.230426-1815),8,16.0 GB,[09NotReady],,1.01%,22.84%,172.18.2.37,172.18.2.37,6445h43m53s
172.18.14.101,DCRM2KF1,online,上海G4.5（数据中心）Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,32.0 GB,[09NotReady],,2.23%,64.18%,172.18.14.101,172.18.14.101,19675h57m45s
10.110.14.17,TBIJUMP02,online,上海G4.5（数据中心）Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,32.0 GB,[09NotReady],,1.52%,16.58%,10.110.14.17,10.110.14.17,11016h33m35s
10.110.16.47,TOTDQTCE3,online,上海G4.5（数据中心）Windows,Windows Server,2019 Standard,10.0.17763.8146 (WinBuild.160101.0800),8,32.0 GB,[09NotReady],,2.12%,15.99%,10.110.16.47,10.110.16.47,984h28m27s
10.110.16.45,TOTDQTCE2,online,上海G4.5（数据中心）Windows,Windows Server,2019 Standard,10.0.17763.8146 (WinBuild.160101.0800),8,32.0 GB,[09NotReady],,1.72%,9.81%,10.110.16.45,10.110.16.45,984h29m12s
10.110.16.70,TOTDQTCE7,online,上海G4.5（数据中心）Windows,Windows Server,2019 Standard,10.0.17763.8146 (WinBuild.160101.0800),8,160.0 GB,[09NotReady],,2.91%,13.71%,10.110.16.70,10.110.16.70,985h17m28s
172.18.13.89,PCRM2YD1,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8146 (rs1_release.250519-1743),8,16.0 GB,[09NotReady],,1.08%,28.61%,172.18.13.89,172.18.13.89,4287h35m52s
172.18.13.244,PHhbtb,online,上海G4.5（数据中心）Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),16,64.0 GB,[09NotReady],,0.87%,39.71%,172.18.13.244,172.18.13.244,2539h46m8s
10.110.12.41,PARISEMS01,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),16,64.0 GB,[09NotReady],,0.69%,7.43%,10.110.12.41,10.110.12.41,1055h53m9s
172.18.13.22,pkqsharenew,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.5291 (rs1_release.220806-1444),4,8.0 GB,[09NotReady],,1.98%,31.65%,172.18.13.22,172.18.13.22,5898h34m10s
172.18.13.55,PWMSAP05,online,上海G4.5（数据中心）Windows,Windows Server,2012 R2 Standard,6.3.9600.17031 (winblue_gdr.140221-1952),16,32.0 GB,[09NotReady],,1.06%,47.33%,172.18.13.55,172.18.13.55,4630h55m26s
10.110.12.160,AEBUPDCAE03,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),16,80.0 GB,[09NotReady],,4.38%,26.23%,10.110.12.160,10.110.12.160,1173h38m10s
172.18.2.173,WIN-Q38POCQLUGE,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),4,8.0 GB,[09NotReady],,5.50%,53.05%,172.18.2.173,172.18.2.173,1199h11m27s
172.18.2.129,PCZYFCAE,online,上海G4.5（数据中心）Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),16,64.0 GB,[09NotReady],,4.26%,7.62%,172.18.2.129,172.18.2.129,3115h47m37s
172.18.13.209,pavicwmsdb,online,上海G4.5（数据中心）Windows,Windows Server,2012 R2 Standard,6.3.9600.17415 (winblue_r4.141028-1500),20,128.0 GB,[09NotReady],,0.69%,62.42%,172.18.13.209,172.18.13.209,12192h15m37s
10.101.2.131,pkaipiao02,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,8,47.4 GB,[09NotReady],,7.71%,63.52%,10.101.2.131,10.101.2.131,20208h56m2s
10.110.14.139,tpromgt10,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,4,7.7 GB,[09NotReady],,6.00%,41.11%,10.110.14.139,10.110.14.139,14491h27m58s
172.18.2.216,aebs1.tianma.cn,online,上海G4.5（数据中心）Linux,Oracle Linux Server,7.6 (Maipo),4.14.35-1902.3.1.el7uek.x86_64,8,31.2 GB,[09NotReady],,4.09%,42.68%,172.18.2.216,172.18.2.216,36625h28m16s
10.110.13.169,pdormiredis,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,8,15.7 GB,[09NotReady],,2.14%,13.52%,10.110.13.169,10.110.13.169,15163h43m53s
10.110.12.208,perpnfs,online,上海G4.5（数据中心）Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,8,15.5 GB,[09NotReady],,0.66%,19.66%,10.110.12.208,10.110.12.208,16457h28m7s
10.110.13.159,pfank8s01,online,上海G4.5（数据中心）Linux,Red Hat Enterprise Linux Server,7.9 (Maipo),3.10.0-1160.el7.x86_64,8,31.4 GB,[09NotReady],,9.95%,45.71%,10.110.13.159,10.110.13.159,14847h0m34s
10.110.12.33,PJiraDB,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,4,15.3 GB,[09NotReady],,23.39%,29.01%,10.110.12.33,10.110.12.33,13483h26m56s
10.110.16.20,TJiraDB,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,4,15.3 GB,[09NotReady],,9.01%,16.94%,10.110.16.20,10.110.16.20,13483h26m17s
172.18.2.143,PPRD1VSA2,online,上海G4.5（数据中心）Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,8,15.5 GB,[09NotReady],,2.26%,31.79%,172.18.2.143,172.18.2.143,30455h21m47s
172.18.13.42,pqzdb001.tianma.cn,online,上海G4.5（数据中心）Linux,Oracle Linux Server,6.8 (Santiago),4.1.12-37.4.1.el6uek.x86_64,8,31.4 GB,[09NotReady],,4.20%,22.70%,172.18.13.42,172.18.13.42,9121h51m14s
172.18.13.137,PZHCRMDB01,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.5786 (rs1_release.230308-2129),16,200.0 GB,[09NotReady],,8.53%,3.17%,172.18.13.137,172.18.13.137,11112h11m19s
172.18.25.63,WIN-SO69GCI69R1,online,上海G4.5（数据中心）Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,4.0 GB,[09NotReady DMZ区服务器],,5.47%,71.15%,172.18.25.63,172.18.25.63,18689h45m8s
10.110.16.79,TOTDQAE11,online,上海G4.5（数据中心）Windows,Windows Server,2019 Standard,10.0.17763.8146 (WinBuild.160101.0800),16,32.0 GB,[09NotReady],,1.22%,34.39%,10.110.16.79,10.110.16.79,985h5m20s
10.110.13.126,PRPACLE23,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),4,8.0 GB,[09NotReady],RPA机器人,31.58%,39.23%,10.110.13.126,10.110.13.126,257h13m32s
10.110.14.113,TAPSWEB,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),8,32.0 GB,[09NotReady],,1.99%,9.67%,10.110.14.113,10.110.14.113,1195h14m0s
172.18.13.150,PCRM2DB4,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.7604 (rs1_release.241127-1746),16,80.0 GB,[09NotReady],,1.07%,95.86%,172.18.13.150,172.18.13.150,9422h16m53s
10.100.6.211,twmsap04-bak,online,上海G4.5（数据中心）Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),32,80.0 GB,[09NotReady],,0.34%,24.89%,10.100.6.211,10.100.6.211,13432h37m3s
172.18.13.133,PRPACLE011,online,上海G4.5（数据中心）Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,4.0 GB,[09NotReady],,1.86%,43.43%,172.18.13.133,172.18.13.133,5587h2m20s
172.18.2.67,PTELAP,online,上海G4.5（数据中心）Windows,Windows Server,2019 Standard,10.0.17763.5696 (WinBuild.160101.0800),4,8.0 GB,[09NotReady],,3.11%,50.92%,172.18.2.67,172.18.2.67,14519h53m2s
10.110.12.62,PAPScalcul,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),16,80.0 GB,[09NotReady],,13.29%,15.61%,10.110.12.62,10.110.12.62,768h28m20s
10.110.13.145,PRPACLE34,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),4,8.0 GB,[09NotReady],,39.02%,55.38%,10.110.13.145,10.110.13.145,932h27m19s
10.110.13.143,PRPACLE32,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),4,8.0 GB,[09NotReady],,1.86%,26.86%,10.110.13.143,10.110.13.143,982h0m16s
10.100.2.127,pcdgwap1,online,上海G4.5（数据中心）Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,8.0 GB,[09NotReady],,1.18%,35.35%,10.100.2.127,10.100.2.127,17541h5m6s
10.110.13.108,Administrator,online,上海G4.5（数据中心）Windows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),16,64.0 GB,[09NotReady],,0.82%,10.58%,10.110.13.108,10.110.13.108,375h39m52s
10.110.13.142,PRPACLE31,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),4,8.0 GB,[09NotReady],,3.59%,31.72%,10.110.13.142,10.110.13.142,47h40m32s
10.110.12.165,AEBUPDCAE08,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),16,48.0 GB,[09NotReady],,0.46%,7.88%,10.110.12.165,10.110.12.165,1174h3m18s
10.101.4.101,tkaipiaodb,online,上海G4.5（数据中心）Linux,Oracle Linux Server,7.9 (Maipo),3.10.0-1160.el7.x86_64,8,31.2 GB,[09NotReady],,8.18%,66.34%,10.101.4.101,10.101.4.101,16480h53m6s
172.18.25.189,pxmsc,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,8,15.6 GB,[09NotReady DMZ区服务器],,3.60%,12.17%,172.18.25.189,172.18.25.189,16145h1m49s
10.110.14.97,tkingdee02,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,16,62.8 GB,[09NotReady],,6.72%,39.67%,10.110.14.97,10.110.14.97,22698h48m41s
10.110.18.55,pfactorngx,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,8,15.7 GB,[09NotReady],,4.36%,16.79%,10.110.18.55,10.110.18.55,24713h0m5s
10.110.13.30,pdormireport,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,16,62.9 GB,[09NotReady],,2.20%,10.66%,10.110.13.30,10.110.13.30,25897h10m53s
172.18.14.57,uitsmbi1.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.0.1406 (Core) ,3.10.0-123.el7.x86_64,8,15.5 GB,[09NotReady],,1.40%,56.96%,172.18.14.57,172.18.14.57,44272h1m44s
172.18.13.112,pitsmap2.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.0.1406 (Core) ,3.10.0-123.el7.x86_64,8,31.3 GB,[09NotReady],,9.27%,72.46%,172.18.13.112,172.18.13.112,36769h47m0s
10.110.16.14,starrocksuat02.tianma.cn,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,32,94.9 GB,[09NotReady],,32.13%,57.52%,10.110.16.14,10.110.16.14,23928h19m12s
10.110.13.146,PUEMkafka01,online,上海G4.5（数据中心）Linux,openEuler,20.03 (LTS-SP3),4.19.90-2112.8.0.0131.oe1.x86_64,8,15.1 GB,[09NotReady],,6.16%,28.72%,10.110.13.146,10.110.13.146,16338h17m23s
10.110.14.149,TGDF_ETL01,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,31.1 GB,[09NotReady],,10.82%,16.79%,10.110.14.149,10.110.14.149,14012h19m37s
